dusun,rt,rw,tahun,kategori,subkategori,jumlah
Candi Wetan,09,05,2026,Kepala Keluarga,Jumlah KK,31
Candi Wetan,09,05,2026,Jenis Kelamin,P,44
Candi Wetan,09,05,2026,Jenis Kelamin,L,46
Candi Wetan,09,05,2026,Pekerjaan,Petani,13
Candi Wetan,09,05,2026,Pekerjaan,Buruh,3
Candi Wetan,09,05,2026,Pekerjaan,PNS/TNI/Polri,4
Candi Wetan,09,05,2026,Pekerjaan,Karyawan Swasta,13
Candi Wetan,09,05,2026,Pekerjaan,Lainnya/Pensiun,10
Candi Wetan,09,05,2026,Pekerjaan,IRT,13
Candi Wetan,09,05,2026,Pekerjaan,Wiraswasta,3
Candi Wetan,09,05,2026,Pendidikan,TK,3
Candi Wetan,09,05,2026,Pendidikan,SD/Sederajat,13
Candi Wetan,09,05,2026,Pendidikan,SMP/Sederajat,19
Candi Wetan,09,05,2026,Pendidikan,SMA/Sederajat,41
Candi Wetan,09,05,2026,Pendidikan,Diploma/S1,6
Candi Wetan,09,05,2026,Pendidikan,Tidak Sekolah,3
Candi Wetan,09,05,2026,Keagamaan,Islam,90
Candi Wetan,09,05,2026,Keagamaan,Kristen,0
Candi Wetan,09,05,2026,Keagamaan,Katolik,0
Candi Wetan,09,05,2026,Keagamaan,Hindu,0
Candi Wetan,09,05,2026,Keagamaan,Budha,0
Candi Wetan,11,06,2026,Kepala Keluarga,Jumlah KK,20
Candi Wetan,11,06,2026,Jenis Kelamin,P,28
Candi Wetan,11,06,2026,Jenis Kelamin,L,25
Candi Wetan,11,06,2026,Pekerjaan,Petani,14
Candi Wetan,11,06,2026,Pekerjaan,Buruh,0
Candi Wetan,11,06,2026,Pekerjaan,PNS/TNI/Polri,0
Candi Wetan,11,06,2026,Pekerjaan,Karyawan Swasta,9
Candi Wetan,11,06,2026,Pekerjaan,Lainnya/Pensiun,1
Candi Wetan,11,06,2026,Pekerjaan,IRT,4
Candi Wetan,11,06,2026,Pekerjaan,Wiraswasta,6
Candi Wetan,11,06,2026,Pendidikan,TK,2
Candi Wetan,11,06,2026,Pendidikan,SD/Sederajat,15
Candi Wetan,11,06,2026,Pendidikan,SMP/Sederajat,6
Candi Wetan,11,06,2026,Pendidikan,SMA/Sederajat,17
Candi Wetan,11,06,2026,Pendidikan,Diploma/S1,6
Candi Wetan,11,06,2026,Pendidikan,Tidak Sekolah,0
Candi Wetan,11,06,2026,Keagamaan,Islam,53
Candi Wetan,11,06,2026,Keagamaan,Kristen,0
Candi Wetan,11,06,2026,Keagamaan,Katolik,0
Candi Wetan,11,06,2026,Keagamaan,Hindu,0
Candi Wetan,11,06,2026,Keagamaan,Budha,0
Candi Wetan,12,06,2026,Kepala Keluarga,Jumlah KK,13
Candi Wetan,12,06,2026,Jenis Kelamin,P,19
Candi Wetan,12,06,2026,Jenis Kelamin,L,14
Candi Wetan,12,06,2026,Pekerjaan,Petani,7
Candi Wetan,12,06,2026,Pekerjaan,Buruh,0
Candi Wetan,12,06,2026,Pekerjaan,PNS/TNI/Polri,1
Candi Wetan,12,06,2026,Pekerjaan,Karyawan Swasta,5
Candi Wetan,12,06,2026,Pekerjaan,Lainnya/Pensiun,1
Candi Wetan,12,06,2026,Pekerjaan,IRT,3
Candi Wetan,12,06,2026,Pekerjaan,Wiraswasta,5
Candi Wetan,12,06,2026,Pendidikan,TK,0
Candi Wetan,12,06,2026,Pendidikan,SD/Sederajat,9
Candi Wetan,12,06,2026,Pendidikan,SMP/Sederajat,6
Candi Wetan,12,06,2026,Pendidikan,SMA/Sederajat,9
Candi Wetan,12,06,2026,Pendidikan,Diploma/S1,3
Candi Wetan,12,06,2026,Pendidikan,Tidak Sekolah,0
Candi Wetan,12,06,2026,Keagamaan,Islam,33
Candi Wetan,12,06,2026,Keagamaan,Kristen,0
Candi Wetan,12,06,2026,Keagamaan,Katolik,0
Candi Wetan,12,06,2026,Keagamaan,Hindu,0
Candi Wetan,12,06,2026,Keagamaan,Budha,0
